연도,전지구,
1891,-0.8,
1892,-0.9,
1893,-0.9,
1894,-0.9,
1895,-0.8,
1896,-0.6,
1897,-0.6,
1898,-0.8,
1899,-0.7,
1900,-0.6,
1901,-0.7,
1902,-0.8,
1903,-0.9,
1904,-0.9,
1905,-0.8,
1906,-0.7,
1907,-0.9,
1908,-0.9,
1909,-0.9,
1910,-0.9,
1911,-0.9,
1912,-0.9,
1913,-0.8,
1914,-0.7,
1915,-0.6,
1916,-0.9,
1917,-0.9,
1918,-0.8,
1919,-0.7,
1920,-0.7,
1921,-0.6,
1922,-0.7,
1923,-0.7,
1924,-0.7,
1925,-0.6,
1926,-0.5,
1927,-0.6,
1928,-0.7,
1929,-0.8,
1930,-0.6,
1931,-0.5,
1932,-0.6,
1933,-0.7,
1934,-0.6,
1935,-0.6,
1936,-0.5,
1937,-0.4,
1938,-0.4,
1939,-0.5,
1940,-0.6,
1941,-0.5,
1942,-0.5,
1943,-0.5,
1944,-0.4,
1945,-0.5,
1946,-0.6,
1947,-0.6,
1948,-0.5,
1949,-0.5,
1950,-0.6,
1951,-0.5,
1952,-0.5,
1953,-0.4,
1954,-0.7,
1955,-0.7,
1956,-0.8,
1957,-0.5,
1958,-0.4,
1959,-0.5,
1960,-0.6,
1961,-0.5,
1962,-0.5,
1963,-0.5,
1964,-0.7,
1965,-0.6,
1966,-0.6,
1967,-0.6,
1968,-0.6,
1969,-0.5,
1970,-0.5,
1971,-0.7,
1972,-0.5,
1973,-0.4,
1974,-0.7,
1975,-0.6,
1976,-0.7,
1977,-0.5,
1978,-0.5,
1979,-0.4,
1980,-0.4,
1981,-0.3,
1982,-0.5,
1983,-0.3,
1984,-0.5,
1985,-0.5,
1986,-0.4,
1987,-0.3,
1988,-0.3,
1989,-0.4,
1990,-0.2,
1991,-0.2,
1992,-0.4,
1993,-0.4,
1994,-0.3,
1995,-0.2,
1996,-0.3,
1997,-0.1,
1998,0.1,
1999,-0.2,
2000,-0.2,
2001,-0.1,
2002,0.0,
2003,0.0,
2004,-0.1,
2005,0.1,
2006,0.0,
2007,0.0,
2008,-0.1,
2009,0.0,
2010,0.1,
2011,-0.1,
2012,0.0,
2013,0.1,
2014,0.1,
2015,0.3,
2016,0.4,
2017,0.3,
2018,0.2,
2019,0.3,
2020,0.3,
