date,CO2_avg,CH4_avg,N2O_avg,CFC11_avg,CFC12_avg,CFC113_avg,SF6_avg
2018-01-01,416.66,,,,,,
2018-01-02,416.34,,,,,,
2018-01-03,414.88,,,,,,
2018-01-04,414.54,,,,,,
2018-01-05,413.95,,,,,,
2018-01-06,413.08,,,,,,
2018-01-07,412.53,,,,,,
2018-01-10,415.52,,,,,,
2018-01-11,417.47,,,,,,
2018-01-12,415.97,,,,,,
2018-01-13,414.7,,,,,,
2018-01-14,414.42,,,,,,
2018-01-16,421.18,,,,,,
2018-01-17,420.85,,,,,,
2018-01-19,419.62,,,,,,
2018-01-21,415.21,,,,,,
2018-01-22,421.34,,,,,,
2018-01-24,414.14,,,,,,
2018-01-25,415.09,,,,,,
2018-01-26,414.42,,,,,,
2018-01-27,415.9,,,,,,
2018-01-31,420.41,,,,,,
2018-02-01,415.74,,,,,,
2018-02-02,416.52,,,,,,
2018-02-03,417.71,,,,,,
2018-02-04,420.14,,,,,,
2018-02-05,417.65,,,,,,
2018-02-06,418.06,,,,,,
2018-02-07,417.69,,,,,,
2018-02-10,427.45,,,,,,
2018-02-11,417.19,,,,,,
2018-02-12,416.2,,,,,,
2018-02-13,416.55,,,,,,
2018-02-14,419.38,,,,,,
2018-02-15,417.49,,,,,,
2018-02-16,417.63,,,,,,
2018-02-17,416.44,,,,,,
2018-02-18,416.06,,,,,,
2018-02-19,417.91,,,,,,
2018-02-20,416.82,,,,,,
2018-02-21,416.25,,,,,,
2018-02-22,419.18,,,,,,
2018-02-24,419.09,,,,,,
2018-02-25,418.45,,,,,,
2018-02-26,418.23,,,,,,
2018-02-27,420.22,,,,,,
2018-02-28,422.73,,,,,,
2018-03-01,418.5,,,,,,
2018-03-02,420.11,,,,,,
2018-03-03,418.86,,,,,,
2018-03-04,421.65,,,,,,
2018-03-05,416.8,,,,,,
2018-03-06,417.59,,,,,,
2018-03-07,417.05,,,,,,
2018-03-08,416.11,,,,,,
2018-03-09,417.63,,,,,,
