date,CO2_avg,CH4_avg,N2O_avg,CFC11_avg,CFC12_avg,CFC113_avg,SF6_avg
2020-01-02,420.2163647,1985.283757,333.9353324,,,,
2020-01-03,,1988.706495,333.5675657,,,,
2020-01-04,419.474296,1961.912321,333.6991209,,,,
2020-01-05,420.3271966,1968.200321,333.4689582,,,,
2020-01-06,418.6126655,1958.854607,333.5901676,,,,
2020-01-07,417.7789151,1957.502669,333.5864881,,,,
2020-01-08,418.3647975,1963.760423,333.7302589,,,,
2020-01-09,,1988.775822,334.0775263,,,,
2020-01-10,420.2605142,1976.119205,333.8250814,,,,
2020-01-11,420.7695762,1974.502469,334.3134979,,,,
2020-01-12,420.5509806,1969.756799,334.1005949,,,,
2020-01-13,419.5915873,1975.616008,333.7137483,,,,
2020-01-14,420.3108781,1978.094708,333.7666236,,,,
2020-01-15,420.9066371,1970.315055,333.7613513,,,,
2020-01-16,419.5833282,1967.600724,333.6368039,,,,
2020-01-17,419.4523347,1965.336524,333.6529604,,,,
2020-01-18,418.561758,2011.083311,333.4683168,,,,
2020-01-19,418.4892766,1996.972844,334.6504314,,,,
2020-01-20,420.1461576,1982.418028,333.855054,,,,
2020-01-21,420.2889166,1973.359565,333.3295195,,,,
2020-01-22,419.824165,1986.728344,334.065644,,,,
2020-01-23,421.3932219,1981.90789,333.7351284,,,,
2020-01-24,420.8983455,1969.86911,333.8609819,,,,
2020-01-25,419.0592389,1969.544645,333.4273302,,,,
2020-01-26,419.3471889,1972.572933,333.6354563,,,,
2020-01-27,418.5695627,1986.331479,333.3997047,,,,
2020-01-28,419.0947116,1978.997024,333.4191108,,,,
2020-01-29,419.4881739,1995.511024,333.8528516,,,,
2020-01-30,420.8166274,1985.843721,333.8713138,,,,
2020-01-31,419.2735085,1985.431882,333.7419443,,,,
2020-02-01,419.6523494,1998.681654,333.7634764,,,,
2020-02-02,423.1536161,1984.079208,334.4647848,,,,
2020-02-03,420.7820896,1978.186666,334.1166903,,,,
2020-02-04,420.1895276,1990.252484,333.7565958,,,,
2020-02-05,422.0425813,1982.705234,333.9331113,,,,
2020-02-06,421.1555288,1994.525109,334.8285649,,,,
2020-02-07,419.9741958,1984.166411,334.4822594,,,,
2020-02-08,422.2274231,1972.652829,334.468987,,,,
2020-02-09,420.1987955,1974.000878,333.985386,,,,
2020-02-10,421.6805031,1973.43389,333.426408,,,,
2020-02-11,421.3271957,1979.414802,334.537941,,,,
2020-02-12,,2001.358297,333.4022284,,,,
2020-02-13,,2014.445567,333.0754278,,,,
2020-02-14,,2029.260223,332.5512071,,,,
2020-02-15,,1995.058812,332.512879,,,,
2020-02-16,424.239497,1996.101346,333.1086604,,,,
2020-02-17,421.3305967,1975.248021,332.94874,,,,
2020-02-18,421.1243597,1948.728614,332.9314824,,,,
2020-02-19,418.6945346,1949.229424,332.8923161,,,,
2020-02-20,419.7158728,1950.368973,332.5605816,,,,
2020-02-21,419.7898578,1970.224679,332.5635585,,,,
2020-02-22,,1967.234409,332.6584011,,,,
2020-02-23,420.6802031,1972.993504,334.8317897,,,,
2020-02-24,421.7899983,1975.844516,333.6052111,,,,
2020-02-25,421.8990033,1983.512458,333.8377988,,,,
2020-02-26,421.4153328,1978.17378,333.8656842,,,,
2020-02-27,421.0222663,1972.83999,334.0019851,,,,
2020-02-28,420.9484745,1974.087652,334.0681151,,,,
2020-02-29,422.7502073,1976.077091,334.6007945,,,,
2020-03-01,421.4806781,1973.30975,333.2911256,,,,
2020-03-02,420.1846131,1980.279056,332.9656619,,,,
2020-03-03,421.83372,1991.143884,333.148959,,,,
