date,CO2_avg
2020-01-02,420.2163647
2020-01-03,
2020-01-04,419.474296
2020-01-05,420.3271966
2020-01-06,418.6126655
2020-01-07,417.7789151
2020-01-08,418.3647975
2020-01-09,
2020-01-10,420.2605142
2020-01-11,420.7695762
2020-01-12,420.5509806
2020-01-13,419.5915873
2020-01-14,420.3108781
2020-01-15,420.9066371
2020-01-16,419.5833282
2020-01-17,419.4523347
2020-01-18,418.561758
2020-01-19,418.4892766
2020-01-20,420.1461576
2020-01-21,420.2889166
2020-01-22,419.824165
2020-01-23,421.3932219
2020-01-24,420.8983455
2020-01-25,419.0592389
2020-01-26,419.3471889
2020-01-27,418.5695627
2020-01-28,419.0947116
2020-01-29,419.4881739
2020-01-30,420.8166274
2020-01-31,419.2735085
2020-02-01,419.6523494
2020-02-02,423.1536161
2020-02-03,420.7820896
2020-02-04,420.1895276
2020-02-05,422.0425813
2020-02-06,421.1555288
2020-02-07,419.9741958
2020-02-08,422.2274231
2020-02-09,420.1987955
2020-02-10,421.6805031
2020-02-11,421.3271957
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,424.239497
2020-02-17,421.3305967
2020-02-18,421.1243597
2020-02-19,418.6945346
2020-02-20,419.7158728
2020-02-21,419.7898578
2020-02-22,
2020-02-23,420.6802031
2020-02-24,421.7899983
2020-02-25,421.8990033
2020-02-26,421.4153328
2020-02-27,421.0222663
2020-02-28,420.9484745
2020-02-29,422.7502073
2020-03-01,421.4806781
2020-03-02,420.1846131
2020-03-03,421.83372
2020-03-04,421.2609647
2020-03-05,
2020-03-06,
2020-03-07,420.8422607
2020-03-08,421.7755599
2020-03-09,420.1051167
2020-03-10,420.6582568
2020-03-11,421.7002152
2020-03-12,423.4902796
2020-03-13,423.9831249
2020-03-14,420.6795894
2020-03-15,422.4844269
2020-03-16,421.35672
2020-03-17,
2020-03-18,424.1652638
2020-03-19,423.7624865
2020-03-20,422.7066809
2020-03-21,422.2661979
2020-03-22,421.7412449
2020-03-23,422.2573515
2020-03-24,422.5555102
2020-03-25,422.102308
2020-03-26,422.9097825
2020-03-27,421.499232
2020-03-28,421.2148132
2020-03-29,421.0475722
2020-03-30,420.3834518
2020-03-31,
2020-04-01,423.2360788
2020-04-02,422.598506
2020-04-03,422.5227137
2020-04-04,420.7857144
2020-04-05,421.4923858
2020-04-06,421.5539553
2020-04-07,423.0189163
2020-04-08,422.3368551
2020-04-09,422.5964415
2020-04-10,422.5081818
2020-04-11,421.853561
2020-04-12,421.8183009
2020-04-13,420.7585719
2020-04-14,421.6700357
2020-04-15,422.4156992
2020-04-16,421.5963392
2020-04-17,
2020-04-18,422.2272915
2020-04-19,421.6685061
2020-04-20,
2020-04-21,423.0725831
2020-04-22,422.2461128
2020-04-23,423.3981133
2020-04-24,422.6604214
2020-04-25,422.3065761
2020-04-26,422.5393256
2020-04-27,422.2134422
2020-04-28,423.355211
2020-04-29,424.017795
2020-04-30,
2020-05-01,421.4663837
2020-05-02,421.8007824
2020-05-03,421.7737036
2020-05-04,422.7139151
2020-05-05,421.8705523
2020-05-06,421.9723053
2020-05-07,420.500077
2020-05-08,421.7019485
2020-05-09,421.8895485
2020-05-10,
2020-05-11,420.8953423
2020-05-12,
2020-05-13,420.5282866
2020-05-14,
2020-05-15,419.3681971
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,419.1038024
2020-05-20,418.5745167
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,420.2640596
2020-05-30,
2020-05-31,422.5923173
2020-06-01,
2020-06-02,414.7974346
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,411.7148838
2020-06-08,410.8947802
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,410.6829085
2020-06-16,403.0075944
2020-06-17,403.8194031
2020-06-18,
2020-06-19,
2020-06-20,406.4404271
2020-06-21,405.4202951
2020-06-22,405.6914887
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,407.3761135
2020-07-02,405.8724259
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,419.3431493
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,414.7634038
2020-08-06,414.3782691
2020-08-07,
2020-08-08,
2020-08-09,413.8700438
2020-08-10,413.615091
2020-08-11,415.3793168
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,412.9349204
2020-08-28,411.8187589
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,411.6453457
2020-09-04,411.2327869
2020-09-05,
2020-09-06,410.662693
2020-09-07,414.504361
2020-09-08,414.5346908
