date,co2,temp
1999-01-01,373.7,0.1
1999-02-01,374,1.4
1999-03-01,372.9,6.2
1999-04-01,373.6,12.5
1999-05-01,370.8,16.8
1999-06-01,366.3,21.5
1999-07-01,365.4,23.7
1999-08-01,361.7,24.3
1999-09-01,361.9,22
1999-10-01,365.9,13.7
1999-11-01,369.5,7.5
1999-12-01,371.3,1
2000-01-01,375,-0.5
2000-02-01,375.4,-0.7
2000-03-01,375.4,6
2000-04-01,375.4,11.3
2000-05-01,372.7,16.8
2000-06-01,369.6,21.4
2000-07-01,368.7,25.4
2000-08-01,367.2,25.2
2000-09-01,365.8,19.3
2000-10-01,370,14.1
2000-11-01,374.3,6.7
2000-12-01,375.7,1.4
2001-01-01,378.7,-2.3
2001-02-01,379.1,0.8
2001-03-01,379.2,5.3
2001-04-01,380.2,12.5
2001-05-01,377.6,18.1
2001-06-01,373.8,21.6
2001-07-01,368.1,25.4
2001-08-01,361.2,25
2001-09-01,366.4,20.4
2001-10-01,376.2,15.2
2001-11-01,377.7,6.5
2001-12-01,377,0.3
2002-01-01,379.1,1
2002-02-01,379.7,2.2
2002-03-01,377.8,7.7
2002-04-01,378.6,13.2
2002-05-01,377,16.7
2002-06-01,372.2,20.9
2002-07-01,373.1,24.3
2002-08-01,373.8,23.6
2002-09-01,374.4,19.8
2002-10-01,379.1,12.5
2002-11-01,384.4,4.5
2002-12-01,387.8,1.9
2003-01-01,387.9,-2.2
2003-02-01,386.7,2.1
2003-03-01,386.5,5.8
2003-04-01,385.8,12.3
2003-05-01,382.8,17.3
2003-06-01,378.6,20.7
2003-07-01,376.8,22.3
2003-08-01,374,23.6
2003-09-01,371.3,20.7
2003-10-01,380.7,13.2
2003-11-01,388.4,9.5
2003-12-01,384.1,1.7
2004-01-01,383,-1.2
2004-02-01,384.4,2.7
2004-03-01,386.1,6.2
2004-04-01,387.1,12.7
2004-05-01,383.3,17.2
2004-06-01,380.8,21.6
2004-07-01,376.5,25
2004-08-01,371.6,24.8
2004-09-01,376.4,20.6
2004-10-01,380.1,14
2004-11-01,377.6,8.7
2004-12-01,383.1,2.8
2005-01-01,388.5,-1.4
2005-02-01,389.6,-0.8
2005-03-01,390.3,4.5
2005-04-01,389.6,13
2005-05-01,389.5,16.8
2005-06-01,385.2,22.2
2005-07-01,380.8,24.7
2005-08-01,380.8,24.8
2005-09-01,380.5,21.5
2005-10-01,386.6,14
2005-11-01,390.5,8
2005-12-01,392.2,-2.6
2006-01-01,392.8,0.3
2006-02-01,389.3,0.9
2006-03-01,387.8,5.7
2006-04-01,391.7,11.1
2006-05-01,391.7,17.1
2006-06-01,386.4,21.1
2006-07-01,381.4,23
2006-08-01,378.4,26.3
2006-09-01,379.9,19.3
2006-10-01,387.2,16.5
2006-11-01,389.9,8.5
2006-12-01,388.5,1.7
2007-01-01,390.7,0.6
2007-02-01,392.5,3.8
2007-03-01,391.8,6.6
2007-04-01,393,11.4
2007-05-01,391,17.5
2007-06-01,386.5,21.5
2007-07-01,384.9,23.5
2007-08-01,382.7,25.9
2007-09-01,383.5,21.1
2007-10-01,387.4,14.7
2007-11-01,391.3,6.7
2007-12-01,394,2.3
2008-01-01,392.8,-0.5
2008-02-01,392.1,-0.7
2008-03-01,394,6.8
2008-04-01,396,12.8
2008-05-01,394.6,17.2
2008-06-01,390.5,20.3
2008-07-01,385.7,25.9
2008-08-01,381.2,24.5
2008-09-01,382.1,21.2
2008-10-01,388.1,15.5
2008-11-01,391.1,7.5
2008-12-01,392,1.8
2009-01-01,394,-1.4
2009-02-01,393.3,3.9
2009-03-01,393.3,6.7
2009-04-01,396.2,12.3
2009-05-01,394.3,18.1
2009-06-01,389.9,21.7
2009-07-01,385.6,23.5
2009-08-01,380.4,24.3
2009-09-01,382.3,20.7
2009-10-01,389.9,15
2009-11-01,394.4,7.5
2009-12-01,396,0.6
2010-01-01,396.5,-2.2
2010-02-01,396.5,2
2010-03-01,395.8,5.2
2010-04-01,393.8,9.6
2010-05-01,392.8,16.9
2010-06-01,392.2,22.2
2010-07-01,389.8,25.2
2010-08-01,387.3,26.6
2010-09-01,388.6,21.6
2010-10-01,393.3,14.2
2010-11-01,394.9,6.7
2010-12-01,395.4,0.5
2011-01-01,397.6,-5.2
2011-02-01,398.1,1.6
2011-03-01,397.7,4.3
2011-04-01,398.9,11
2011-05-01,396.8,17.1
2011-06-01,391.1,21.8
2011-07-01,387.5,24.9
2011-08-01,386.7,24.9
2011-09-01,389,20.8
2011-10-01,395.1,13.5
2011-11-01,397.2,10.7
2011-12-01,397,0.3
2012-01-01,399.5,-1.5
2012-02-01,401.2,-1.1
2012-03-01,402.6,5.4
2012-04-01,404.9,12.4
2012-05-01,403.9,18.1
2012-06-01,399.1,21.9
2012-07-01,396.7,25.2
2012-08-01,394,26.2
2012-09-01,394.4,19.9
2012-10-01,400.3,14
2012-11-01,402.7,6.2
2012-12-01,404.3,-2.1
2013-01-01,407.4,-2.5
2013-02-01,407.5,0.4
2013-03-01,406.6,6.4
2013-04-01,408.7,10.1
2013-05-01,407.7,17.6
2013-06-01,400.3,22.5
2013-07-01,398.6,26
2013-08-01,396.4,27
2013-09-01,394.4,20.9
2013-10-01,400.4,15.1
2013-11-01,404.5,6.7
2013-12-01,406.6,1.1
2014-01-01,407.9,0.2
2014-02-01,408.7,2.3
2014-03-01,409.2,7.5
2014-04-01,410,13.1
2014-05-01,408.6,18.2
2014-06-01,404.3,21.6
2014-07-01,400.2,24.8
2014-08-01,395.3,23.6
2014-09-01,396.8,20.6
2014-10-01,403.1,14.5
2014-11-01,405,8.5
2014-12-01,406.6,-0.9
2015-01-01,410,0.2
2015-02-01,411.2,1.7
2015-03-01,410.6,6.5
2015-04-01,411.2,12.5
2015-05-01,409.3,18.4
2015-06-01,405.2,21.5
2015-07-01,402.7,24.2
2015-08-01,397.3,25
2015-09-01,396.6,20.2
2015-10-01,405.2,14.7
2015-11-01,411.5,9.8
2015-12-01,412.1,3.2
2016-01-01,411.8,-1.3
2016-02-01,412,1.4
2016-03-01,414,6.9
2016-04-01,416.1,13.6
2016-05-01,411.9,18.4
2016-06-01,407,22.2
2016-07-01,403.9,25.2
2016-08-01,401.5,26.5
2016-09-01,407.4,21.4
2016-10-01,413.8,15.5
2016-11-01,414,7.5
2016-12-01,414.1,2.7
2017-01-01,415.2,-0.3
2017-02-01,415.6,1.4
2017-03-01,417.4,6
2017-04-01,418.3,13.6
2017-05-01,414,18.5
2017-06-01,410,21.6
2017-07-01,409.9,26.2
2017-08-01,407,25.2
2017-09-01,407.1,20.3
2017-10-01,412.1,15.1
2017-11-01,414.3,6.5
2017-12-01,416.1,-0.5
2018-01-01,417.5,-2.4
2018-02-01,417.7,-0.5
2018-03-01,419.4,7.9
2018-04-01,420.1,13.1
2018-05-01,416.3,17.7
2018-06-01,412.4,22.1
2018-07-01,410.5,26.6
2018-08-01,406.7,27.1
2018-09-01,407.8,20.2
2018-10-01,415.5,12.7
2018-11-01,418.2,7.7
2018-12-01,417.3,0.8
2019-01-01,419.8,-0.1
2019-02-01,421.6,2.1
2019-03-01,421.2,7.2
2019-04-01,421.3,11.7
2019-05-01,419.4,18.4
2019-06-01,415.5,21.2
2019-07-01,412.3,24.7
2019-08-01,409,26
2019-09-01,411.9,21.5
2019-10-01,417.8,15.5
2019-11-01,419.9,8.4
2019-12-01,422.8,2.5
