년월,전지구,마우나로아(미국),케이프그림(호주),안면도,
198401,"1,653",,,,
198402,"1,652",,,,
198403,"1,651",,,,
198404,"1,650",,,,
198405,"1,648",,,,
198406,"1,646",,,,
198407,"1,646",,,,
198408,"1,650",,"1,611",,
198409,"1,658",,"1,608",,
198410,"1,664",,"1,605",,
198411,"1,667",,"1,602",,
198412,"1,668",,"1,595",,
198501,"1,667",,"1,587",,
198502,"1,665",,"1,582",,
198503,"1,664",,"1,583",,
198504,"1,663",,"1,590",,
198505,"1,661",,"1,598",,
198506,"1,658",,"1,603",,
198507,"1,657",,"1,610",,
198508,"1,662",,"1,618",,
198509,"1,670",,"1,620",,
198510,"1,676",,"1,620",,
198511,"1,678",,"1,615",,
198512,"1,678",,"1,606",,
198601,"1,678",,"1,600",,
198602,"1,677",,"1,599",,
198603,"1,676",,"1,600",,
198604,"1,675",,"1,605",,
198605,"1,673",,"1,613",,
198606,"1,671",,"1,619",,
198607,"1,671",,"1,626",,
198608,"1,675",,"1,632",,
198609,"1,683",,"1,634",,
198610,"1,689",,"1,633",,
198611,"1,691",,"1,630",,
198612,"1,692",,"1,623",,
198701,"1,692",,"1,615",,
198702,"1,690",,"1,611",,
198703,"1,689",,"1,613",,
198704,"1,688","1,697","1,620",,
198705,"1,686","1,700","1,629",,
198706,"1,684","1,693","1,633",,
198707,"1,683","1,678","1,639",,
198708,"1,687","1,675","1,645",,
198709,"1,694","1,688","1,647",,
198710,"1,701","1,702","1,647",,
198711,"1,702","1,709","1,644",,
198712,"1,702","1,701","1,638",,
198801,"1,703","1,699","1,630",,
198802,"1,702","1,707","1,622",,
198803,"1,700","1,708","1,623",,
198804,"1,698","1,706","1,630",,
198805,"1,696","1,700","1,637",,
198806,"1,693","1,694","1,643",,
198807,"1,693","1,688","1,650",,
198808,"1,699","1,687","1,655",,
198809,"1,706","1,697","1,658",,
198810,"1,713","1,711","1,658",,
198811,"1,716","1,719","1,652",,
198812,"1,717","1,723","1,644",,
198901,"1,715","1,726","1,642",,
198902,"1,714","1,720","1,643",,
198903,"1,712","1,717","1,641",,
198904,"1,711","1,723","1,642",,
198905,"1,709","1,719","1,650",,
198906,"1,706","1,706","1,657",,
198907,"1,705","1,700","1,664",,
198908,"1,710","1,707","1,668",,
198909,"1,716","1,719","1,669",,
198910,"1,722","1,723","1,668",,
198911,"1,725","1,727","1,665",,
198912,"1,725","1,731","1,657",,
199001,"1,724","1,729","1,649",,
